t(s),Custom 1,Custom 2
2000000.0,0.0,0.0
4000000.0,0.0,0.0
6000000.0,0.0,0.0
8000000.0,0.0,0.0
10000000.0,0.0,0.0
12000000.0,0.0,0.0
14000000.0,0.0,0.0
16000000.0,0.0,0.0
18000000.0,0.0,0.0
20000000.0,0.0,0.0
22000000.0,0.0,0.0
24000000.0,0.0,0.0
26000000.0,0.0,0.0
28000000.0,0.0,0.0
30000000.0,0.0,0.0
32000000.0,0.0,0.0
34000000.0,0.0,0.0
36000000.0,0.0,0.0
38000000.0,0.0,0.0
40000000.0,0.0,0.0
42000000.0,0.0,0.0
44000000.0,0.0,0.0
46000000.0,0.0,0.0
48000000.0,0.0,0.0
50000000.0,0.0,0.0
52000000.0,0.0,0.0
54000000.0,0.0,0.0
56000000.0,0.0,0.0
58000000.0,0.0,0.0
60000000.0,0.0,0.0
62000000.0,0.0,0.0
64000000.0,0.0,0.0
66000000.0,0.0,0.0
68000000.0,0.0,0.0
70000000.0,0.0,0.0
72000000.0,0.0,0.0
74000000.0,0.0,0.0
76000000.0,0.0,0.0
78000000.0,0.0,0.0
80000000.0,0.0,0.0
82000000.0,0.0,0.0
84000000.0,0.0,0.0
86000000.0,0.0,0.0
88000000.0,0.0,0.0
90000000.0,0.0,0.0
92000000.0,0.0,0.0
94000000.0,0.0,0.0
96000000.0,0.0,0.0
98000000.0,0.0,0.0
100000000.0,0.0,0.0
102000000.0,0.0,0.0
104000000.0,0.0,0.0
106000000.0,0.0,0.0
108000000.0,0.0,0.0
110000000.0,0.0,0.0
